shortname	country	subsidiary	subsidiary_country	share	relationship	founded	city	employees	firm
Gazprom	Russia	Wingate	United Kingdom	Minority	Operating Unit	1993	Moscow	4.49E+05	Public Joint Stock Company Gazprom (MISX:GAZP)
Gazprom	Russia	Winchelsea	United Kingdom	Minority	Operating Unit	1993	Moscow	4.49E+05	Public Joint Stock Company Gazprom (MISX:GAZP)
Gazprom	Russia	Sillimanite	United Kingdom		Operating Unit	1993	Moscow	4.49E+05	Public Joint Stock Company Gazprom (MISX:GAZP)
Gazprom	Russia	Gazprom Bangladesh	Bangladesh		Operating Unit	1993	Moscow	4.49E+05	Public Joint Stock Company Gazprom (MISX:GAZP)
Gazprom	Russia	"Block no. 26, Bay of Bengal"	India		Operating Unit	1993	Moscow	4.49E+05	Public Joint Stock Company Gazprom (MISX:GAZP)
Gazprom	Russia	JOC Vietgazprom	Vietnam		Operating Unit	1993	Moscow	4.49E+05	Public Joint Stock Company Gazprom (MISX:GAZP)
Gazprom	Russia	PVGAZPROM NGV	Vietnam		Operating Unit	1993	Moscow	4.49E+05	Public Joint Stock Company Gazprom (MISX:GAZP)
Gazprom	Russia	Gazprom Bolivia	Bolivia		Operating Unit	1993	Moscow	4.49E+05	Public Joint Stock Company Gazprom (MISX:GAZP)
Gazprom	Russia	Gazprom Latin America B.V. 	Venezuela		Operating Unit	1993	Moscow	4.49E+05	Public Joint Stock Company Gazprom (MISX:GAZP)
Gazprom	Russia	Servicios Venrus S.A.	Venezuela		Operating Unit	1993	Moscow	4.49E+05	Public Joint Stock Company Gazprom (MISX:GAZP)
TPAO	Turkey	"Gonzalez Block, Catatumbo Basin"	Colombia		Operating Unit	1954	Ankara	4838	Türkiye Petrolleri Anonim Ortakligi
TPAO	Turkey	Maria Conchita Block	Colombia		Operating Unit	1954	Ankara	4838	Türkiye Petrolleri Anonim Ortakligi
TPAO	Turkey	SOUTH OIL COMPANY (SOC)	Iraq		Operating Unit	1954	Ankara	4838	Türkiye Petrolleri Anonim Ortakligi
